"start","Yaariyan.movie."
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,1
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,1
2013-10-13,0
2013-10-14,0
2013-10-15,0
2013-10-16,0
2013-10-17,1
2013-10-18,0
2013-10-19,0
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,0
2013-10-25,0
2013-10-26,2
2013-10-27,1
2013-10-28,1
2013-10-29,1
2013-10-30,1
2013-10-31,6
2013-11-01,7
2013-11-02,7
2013-11-03,7
2013-11-04,6
2013-11-05,8
2013-11-06,7
2013-11-07,9
2013-11-08,7
2013-11-09,11
2013-11-10,8
2013-11-11,8
2013-11-12,9
2013-11-13,7
2013-11-14,8
2013-11-15,9
2013-11-16,8
2013-11-17,7
2013-11-18,7
2013-11-19,8
2013-11-20,7
2013-11-21,8
2013-11-22,7
2013-11-23,9
2013-11-24,8
2013-11-25,8
2013-11-26,15
2013-11-27,12
2013-11-28,14
2013-11-29,33
2013-11-30,42
2013-12-01,45
2013-12-02,43
2013-12-03,51
2013-12-04,55
2013-12-05,48
2013-12-06,63
2013-12-07,82
2013-12-08,72
2013-12-09,61
2013-12-10,59
2013-12-11,61
2013-12-12,68
2013-12-13,77
2013-12-14,92
2013-12-15,99
2013-12-16,85
2013-12-17,81
2013-12-18,73
2013-12-19,76
2013-12-20,72
2013-12-21,87
2013-12-22,87
2013-12-23,81
2013-12-24,94
2013-12-25,100
2013-12-26,86
2013-12-27,81
2013-12-28,88
2013-12-29,92
2013-12-30,80
2013-12-31,87
